Crime,Date,Time,Address,Lat,Lng
Other,02/11/19,03:45 PM,7100 BLOCK OF GARDEN DR SAN BERNARDINO COUNTY,34.1264232,-117.2604015
Burglary,02/11/19,05:01 PM,25800 BLOCK OF 27TH ST SAN BERNARDINO COUNTY,34.1400863,-117.2443508
Other,02/11/19,05:05 PM,400 BLOCK OF N WATERMAN AVE SAN BERNARDINO COUNTY,34.1065209,-117.2789798
Theft,02/11/19,05:52 AM,5600 BLOCK OF EDGEMONT DR SAN BERNARDINO COUNTY,34.1523511,-117.2413286
Theft,02/11/19,08:39 AM,18800 BLOCK OF W CAJON BLVD SAN BERNARDINO COUNTY,34.2147761,-117.3940455
Theft,02/11/19,09:25 AM,900 BLOCK OF W OLIVE ST SAN BERNARDINO COUNTY,34.1188108,-117.3037758
Theft,02/11/19,10:29 AM,3700 BLOCK OF N MOUNTAIN AVE SAN BERNARDINO COUNTY,34.1575908,-117.2570312
Theft,02/11/19,12:49 AM,3200 BLOCK OF WAGON TRAIN RD SAN BERNARDINO COUNTY,34.3084719,-117.4677993
Other,02/11/19,12:55 AM,3200 BLOCK OF WAGON TRAIN RD SAN BERNARDINO COUNTY,34.3084719,-117.4677993
Theft,02/10/19,10:48 PM,20200 BLOCK OF KENDALL DR SAN BERNARDINO COUNTY,34.1743571,-117.3269537
Theft,02/10/19,11:01 PM,19900 BLOCK OF KENDALL DR SAN BERNARDINO COUNTY,34.1743571,-117.3269537
Shooting,02/10/19,11:39 PM,3300 BLOCK OF VERMONT ST SAN BERNARDINO COUNTY,34.1559551,-117.3533635
Theft,02/10/19,01:03 PM,6000 BLOCK OF MC KINLEY AVE SAN BERNARDINO COUNTY,34.1445192,-117.2378357
Other,02/10/19,01:46 PM,7100 BLOCK OF GLASGOW AVE SAN BERNARDINO COUNTY,34.1249742,-117.2548935
Other,02/10/19,02:24 PM,400 BLOCK OF N WATERMAN AVE SAN BERNARDINO COUNTY,34.1065209,-117.2789798
Theft,02/10/19,03:31 AM,6200 BLOCK OF NEWBURY ST SAN BERNARDINO COUNTY,34.1387868,-117.2443795
Other,02/10/19,06:29 AM,2700 BLOCK OF N MACY ST SAN BERNARDINO COUNTY,34.1451823,-117.3403474
Burglary,02/10/19,07:44 AM,7900 BLOCK OF TIPPECANOE AVE SAN BERNARDINO COUNTY,34.110188,-117.261006
Other,02/10/19,09:38 AM,400 BLOCK OF N WATERMAN AVE SAN BERNARDINO COUNTY,34.1065209,-117.2789798
Other,02/10/19,09:39 AM,1900 BLOCK OF MALLORY ST SAN BERNARDINO COUNTY,34.1432833,-117.3311163
Vandalism,02/10/19,09:41 AM,800 BLOCK OF W OLIVE ST SAN BERNARDINO COUNTY,34.1186426,-117.3009115
Other,02/10/19,01:08 AM,2200 BLOCK OF W DARBY ST SAN BERNARDINO COUNTY,34.147213,-117.3442354
